"RESID","SHALLOW","MUDFLAT","BKWATER","CONN_BW","CONN_TR","N_STRUC","SHAL_LZ","DIST_RZ","X_NUTRI","ALGAE","SEDIMEN","SHOREER","NOCOVES","SHOREHO","SUBSTHO","STATE","RESINFO","RESNAME1","LONGITUDE","LATITUDE","CLUSID"
"MT35",1,1,1,0,0,0,1,1,1,1,1,1,0,2,1,"MT",35,"Lake Frances",-112.2074,48.2629,"NPL                1"
"MT42",1,0,1,1,0,1,1,1,0,3,1,3,1,1,1,"MT",42,"Lake Koocanusa",-115.3083,48.41167,"WMT                2"
"MT47",4,4,4,3,4,4,4,4,1,1,1,2,0,1,1,"MT",47,"Martinsdale Reservoir",-110.2681,46.452,"NPL                2"
"MT60",0,1,1,1,1,1,1,3,1,1,2,1,1,1,1,"MT",60,"Nelson Reservoir",-107.5196,48.5238,"NPL                2"
"MT61",2,5,4,4,3,2,1,2,4,4,5,3,1,2,2.423856705,"MT",61,"Nevada Reservoir",-112.8107,46.8024,"WMT                2"
"MT62",0,1,0,0,1,2,0,4,1,1,2,2,1,1,1,"MT",62,"Newlan Creek Reservoir",-110.9376,46.6363,"NPL                1"
"MT64",1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,"MT",64,"Nilan Reservoir",-112.5389,47.4869,"NPL                1"
"MT66",0,0,1,1,0,2,0,1,0,0,1,1,0,1,1,"MT",66,"Noxon Reservoir",-115.7306,47.9597,"WMT                1"
"MT68",0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,"MT",68,"Pishkun Reservoir",-112.454,47.69225,"NPL                1"
"MT7",1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,"MT",7,"Bynum Reservoir",-112.416,47.9648,"NPL                1"
"MT8",1,1,1,1,1,5,2,3,3,3,4,5,2,4,3,"MT",8,"Canyon Ferry",-111.7281,46.6486,"WMT                2"
"MT82",2,1,4,1,0,2,1,1,0,0,4,2,1,1,1,"MT",82,"Thompson Falls Reservoir",-115.35,47.5916,"WMT                1"
"MT83",0,2,1,0,0,3,1,0,0,1,1,2,1,2,2,"MT",83,"Tiber Reservoir",-111.0969,48.32194,"NPL                1"
"MT85",1,1,1,1,1,1,1,2,1,2,4,2,2,2,2,"MT",85,"Tongue River Reservoir",-106.7668,45.1309,"NPL                2"
"MT9",5,3,1,1,2,1,1,1,4,4,3,2,1,1,1,"MT",9,"Clark Canyon Reservoir",-112.8588,45.00024,"WMT                2"
"MT92",2,2,1,1,0,0,1,0,0,0,1,1,1,2,1,"MT",92,"Painted Rocks Reservoir",-114.2814,45.7174,"WMT                1"
"MT94",0,0,1,0,0,0,1,1,0,0,1,1,0,0.84175203,1,"MT",94,"Willow Creek Reservoir",-112.4293,47.54682,"NPL                1"
"MT98",1,1,1,1,1,2,1,1,1,1,3,2,1,3,3,"MT",98,"Harrison Lake or Willow Creek Reservoir",-111.6997,45.7138,"WMT                2"
"NC100",1,1,0,0,0,1,1,2,2,1,3,2,2,1,1,"NC",100,"Wiggins Mill Reservoir",-77.951825,35.692367,"CPL                3"
"NC101",2,3,0,0,0,1,2,1,3,1,2,2,2,1,1,"NC",101,"Buckhorn Reservoir",-78.124394,35.695086,"SAP                4"
"NC102",1,1,1,1,1,2,0,0,4,0,2,2,2,3,2,"NC",102,"Mayo Reservoir",-78.87125,36.527571,"SAP                4"
"NC103",3,2,2,2,2,1,0,0,4,0,3,2,2,1,1,"NC",103,"Lake Reidsville",-79.665828,36.284343,"SAP                4"
"NC11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC",11,"Lake Chatuge",-83.791,35.018,"SAP                1"
"NC12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC",12,"Lake Cheoah",-83.9366,35.4484,"SAP                1"
"NC13",4,3,4,4,4,1,3,1,3,1,3,3,3,2,2,"NC",13,"High Point City Lake",-79.945,35.995,"SAP                4"
"NC14",1,1,0,0,0,1,0,1,2,0,2,2,3,2,1,"NC",14,"Farmer Lake",-79.36139,36.38472,"SAP                4"
"NC15",0,0,1,0,0,4,0,4,0,0,1,3,0,4,2,"NC",15,"Lake Norman",-80.9587,35.435,"SAP                1"
"NC17",2,2,1,1,1,0,1,1,4,1,2,2,3,1,2,"NC",17,"Falls of the Neuse Reservoir",-78.58167,35.94167,"SAP                4"
"NC18",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"NC",18,"Lake Fontana",-83.805,35.45333,"SAP                1"
"NC19",0,1,0,0,0,1,0,4,2,1,1,3,2,2,2,"NC",19,"Lake Gaston",-77.811,36.5019,"SAP                4"
"NC2",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"NC",2,"Apalachia",-84.295,35.17,"SAP                1"
"NC26",1,0,0,0,0,2,0,3,5,3,5,3,2,2,1,"NC",26,"High Rock Lake",-80.2349,35.6007,"SAP                1"
"NC28",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"NC",28,"Lake Hiwassee",-84.178,35.152,"SAP                1"
"NC3",3,3,2,1,0,3,1,1,4,3,2,3,2,2,2,"NC",3,"B. Everett Jordan",-79.07,35.65667,"SAP                4"
"NC31",2,2,0,0,0,0,1,1,1,1,1,1,2,1,1,"NC",31,"Lake Benson",-78.611,35.662,"SAP                4"
"NC32",4,3,2,4,4,4,4,2.686736371,3,1,4,2,3,2,1,"NC",32,"Lake Brandt",-79.8381,36.1711,"SAP                4"
"NC33",1,1,1,1,1,1,2,0,3,1,2,1,2,1,2,"NC",33,"Lake Holt",-78.772,36.167,"SAP                4"
"NC34",1,1,1,1,1,2,1,1,3,1,2,1,2,1,1,"NC",34,"Lake Cammack",-79.412,36.177,"SAP                4"
"NC35",2,2,0,0,0,0,1,2,3,1,2,2,2,2,2,"NC",35,"Lake Crabtree",-78.78222,35.83639,"SAP                4"
"NC37",2,1,1,1,1,4,1,5,1,1,1,1,1,3,2,"NC",37,"Hyco Reservoir",-79.047,36.513,"SAP                1"
"NC4",2,1,3,3,3,1,2,1,3,0,3,3,3,2,1,"NC",4,"Graham Mebane Reservoir",-79.32972,36.09972,"SAP                4"
"NC41",1,1,1,1,1,2,1,1,3,1,1,2,2,1,1,"NC",41,"Lake Mackintosh",-79.50417,36.04028,"SAP                4"
"NC42",1,1,0,0,0,0,0,1,2,0,2,1,1,1,1,"NC",42,"Lake Michie",-78.83,36.151,"SAP                1"
"NC44",3,0,0,0,0,2,0,0,2,1,4,1,2,0,0,"NC",44,"Thom-a-lex",-80.193,35.871,"SAP                1"
"NC46",2,1,0,0,0,0,2,0,2,1,1,1,1,1,1,"NC",46,"Lake Wheeler",-78.694,35.695,"SAP                4"
"NC5",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"NC",5,"Bear Lake",-83.0724,35.2414,"SAP                1"
"NC52",0,0,2,2,0,5,0,5,0,0,1,3,3,3,3,"NC",52,"Lookout Shoals Reservoir",-81.0908,35.7575,"SAP                1"
"NC54",3,1,1,1,1,5,1,2,2,1,2,2,1,2,1,"NC",54,"Moss Lake",-81.457,35.276,"SAP                4"
"NC55",0,0,0,0,0,0,0,2,0,0,2,2,1,2,2,"NC",55,"Mountain Island Lake",-80.9852,35.3359,"SAP                1"
"NC56",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"NC",56,"Lake Nantahala",-83.6538,35.1992,"SAP                1"
"NC59",2,1,2,3,3,2,1,3,3,1,3,3,3,2,2,"NC",59,"Oak Hollow Lake",-79.986,36.012,"SAP                4"
"NC60",0,0,1,1,0,4,0,5,4,2,1,2,2,5,3,"NC",60,"Lake Hickory",-81.1922,35.8214,"SAP                1"
"NC63",0,0,0,0,1,3,0,1,1,1,1,2,2,1,1,"NC",63,"Lake James",-81.848,35.734,"SAP                1"
"NC68",0,0,0,0,0,3,0,1,4,1,1,2,1,1,1,"NC",68,"Randleman Reservoir",-79.8113,35.836,"SAP                4"
"NC69",0,1,1,1,1,4,1,2,1,1,2,3,2,3,1,"NC",69,"Lake Rhodhiss",-81.4381,35.7742,"SAP                1"
"NC7",4,0,0,0,0,0,0,0,3,0,2,3,1,0,0,"NC",7,"Blewett Falls",-79.8798,34.988,"SAP                1"
"NC70",4,3,0,0,0,0,3,4,3,1,1,5,1,4,4,"NC",70,"Roanoke Rapids Lake",-77.6733,36.4817,"SAP                3"
"NC71",0,0,0,0,0,2,0,1,3,0,1,1,1,1,1,"NC",71,"Lake Reece",-79.97,35.681,"SAP                4"
"NC73",0,0,0,0,1,0,0,0,1,1,3,1,2,0,1,"NC",73,"Salem Lake",-80.192,36.096,"SAP                1"
"NC74",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"NC",74,"Lake Santeetlah",-83.8767,35.3772,"SAP                1"
"NC76",1,2,0,0,0,0,2,0,3,1,2,1,1,1,1,"NC",76,"Shearon Harris Reservoir",-78.95611,35.63333,"SAP                4"
"NC78",4,4,0,0,0,0,4,1,3,1,3,3,2,2,2,"NC",78,"Tar River Reservoir",-77.885,35.899,"CPL                3"
"NC79",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"NC",79,"Lake Glenville",-83.1525,35.1962,"SAP                1"
"NC82",0,0,0,0,0,0,0,2,2,0,2,3,1,2,2,"NC",82,"Lake Tillery",-80.0658,35.2067,"SAP                1"
"NC83",3,3,3,4,4,5,1,2,1,1,3,2,2,1,1,"NC",83,"Lake Townsend",-79.732,36.189,"SAP                4"
"NC86",0,0,0,1,0,0,0,0,2,0,2,1,1,0,0,"NC",86,"Tuckertown Lake",-80.1764,35.4851,"SAP                1"
"NC87",0,0,1,1,3,4,0,1,0,0,2,2,1,1,1,"NC",87,"W. Kerr Scott Reservoir",-81.23333,36.15,"SAP                1"
"NC9",2,0,0,0,2,0.800536329,1,0,3,0,4,1,1,0,0,"NC",9,"Cane Creek Lake",-80.688415,34.836702,"SAP                1"
"NC95",0,0,0,0,0,0,0,3,2,0,2,3,0,1,1,"NC",95,"Badin Lake",-80.0931,35.4197,"SAP                1"
"NC97",3,0,0,0,0,0,0,0,3,0,4,1,1,0,0,"NC",97,"Lake Twitty",-80.479367,35.035443,"SAP                1"
"NC98",0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,"NC",98,"Belews Lake",-80.026188,36.316785,"SAP                1"
"NC99",2,2,0,0,0,5,0,0,0,0,5,0,0,0,0,"NC",99,"Lake Adger",-82.203062,35.338304,"SAP                1"
"ND19",0,0,3,3,1,1,0,3,1,1,4,5,5,5,5,"ND",19,"Lake Sakakawea",-101.4317,47.50167,"NPL                1"
"ND24",5,0,0,0,0,3,3,4,4,5,1,3,0,3,3,"ND",24,"Harvey Dam",-99.92217,47.76226,"TPL                1"
"ND45",3,1,3,1,1,4,3,1,5,4,4,4,3,3,4,"ND",45,"Mt. Carmel Dam",-98.28019,48.90768,"TPL                1"
"ND46",1,1,1,1,1,1,1,1,4,2,4,4,1,3,3,"ND",46,"Nelson Lake",-101.2064,47.06629,"NPL                2"
"ND49",5,2,1,1,1,3,4,1,4,3,4,3,3,1,2,"ND",49,"Painted Woods Lake",-100.9634,47.20931,"NPL                2"
"ND5",3,5,5,5,5,5,5,5,4,4,5,4,4,4,4,"ND",5,"Bowman-Haley Dam",-103.2467,45.98167,"NPL                2"
"ND55",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"ND",55,"Lake Audubon",-101.2673,41.607,"SPL                1"
"ND58",0,1,1,1,1,1,1,1,4,4,3,2,3,2,3,"ND",58,"Sweet Briar Dam",-101.2579,46.86369,"NPL                2"
"ND59",1,0,2,1,1,1,1,1,3,2,2,1,1,1,1,"ND",59,"Lake Darling, Upper Souris NWR",-101.6,48.48333,"TPL                3"
"ND61",0,1,4,2.589902107,1,2,1,4,3,4,3,3,1,1,1,"ND",61,"Heart Butte Reservoir",-101.860099,46.609887,"NPL                2"
"ND62",4,4,2,2,1,5,3,4,4,4,5,3,1,1,3,"ND",62,"Patterson Lake",-102.852044,46.860778,"NPL                2"
"ND63",1,1,1,1,1,4,1,1,3,3,1,1,1,1,1,"ND",63,"Garrison Diversion Unit Canal Lakes",-100.808258,47.537601,"NPL                2"
"ND8",5,1,1,1,1,3,4,1,5,4,4,1,3,3,3,"ND",8,"Coal Mine Lake",-100.1366,47.6791,"TPL                1"
"NE12",1,1,3,3,2,1,1,2,3,2,4,4,3,2,2,"NE",12,"Enders Reservoir",-101.521,40.435,"SPL                3"
"NE14",1,1,2,2,1,1,2,2,4,1,5,3,4,3,3,"NE",14,"Jeffrey Reservoir",-100.4034,40.9598,"SPL                3"
"NE17",3,1,4,4,3,3,1,4,3,1,3,5,4,4,4,"NE",17,"Lake McConaughy",-101.6667,41.2367,"SPL                3"
"NE23",0,0,1,1,0,2,0,0,3,3,1,3,1,2,2,"NE",23,"Merritt",-100.8725,42.63363,"SPL                3"
"NE26",5,1,1,1,1,3,3,2,2,1,3,2,0,4,3,"NE",26,"Oliver",-103.8105,41.22355,"SPL                3"
"NE27",5,4,4,3,5,3,4,5,5,3,5,5,5,4,4,"NE",27,"Zorinsky Reservoir",-96.16,41.22,"TPL                2"
"NE28",3,3,4,3,4,3,4,4,4,2,4,5,4,4,4,"NE",28,"Wehrspann Reservoir",-96.055,41.33833,"TPL                2"
"NE29",3,2,2,2,2,2,2,4,3,2,3,2,2,2,2,"NE",29,"Glenn Cunningham Reservoir",-96.052709,41.339249,"TPL                2"
"NE30",4,4,3,3,4,3,3,4,5,5,5,5,4,4,4,"NE",30,"Pawnee",-96.865,40.84,"TPL                2"
"NE34",2.062404651,2,2,2,1,4,3,3,3,4,2,4,2,5,5,"NE",34,"Sutherland Reservoir",-101.1267,41.1367,"SPL                5"
"NE36",4,3,2,2,1,3,3,3,5,3,3,3,2,3,3,"NE",36,"Wagon Train Reservoir",-96.58333,40.62,"TPL                2"
"NE37",4,3,4,4,1,4,3,1,3,0,2,4,0,4,4,"NE",37,"Whitney Reservoir",-103.3158,42.77964,"NPL                2"
"NE38",2,2,1,1,4,3,1,3,5,5,3,5,1,4,4,"NE",38,"Willow Creek",-97.55473,42.18044,"TPL                1"
"NE39",4,1,0,0,1,2,1,3,5,3,4,3,2,2,2,"NE",39,"Yankee Hill",-96.78333,40.73167,"TPL                2"
"NE40",1,1,3,3,3,3,1,2,4,1,3,3,4,3,3,"NE",40,"Swanson",-101.097765,40.160771,"SPL                3"
"NE41",1,1,3,3,3,1,1,2,4,2,4,4,3,3,3,"NE",41,"Harry Strunk",-100.227613,40.388135,"SPL                3"
"NE42",1,1,3,3,2,0,1,1,4,4,3,4,4,2,2,"NE",42,"Hugh Butler Reservoir",-100.671873,40.358187,"SPL                3"
"NE43",3,1,3,3,2,3,3,2,4,4,4,4,2,4,4,"NE",43,"Lake Maloney",-100.779147,41.042398,"SPL                3"
"NE44",2,1,5,5,5,1,1,3,3,1,5,4,4,2,2,"NE",44,"Lewis & Clark",-97.649975,42.849541,"TPL                1"
"NE45",1,1,2,2,2,3,1,2,3,1,4,4,4,4,4,"NE",45,"Calamus Reservoir",-99.247427,41.858311,"SPL                3"
"NE46",4,4,3,3,3,4,4,0,5,4,1,4,1,5,5,"NE",46,"Lake Babcock",-97.359645,41.482701,"SPL                5"
"NE47",1,1,1,1,1,4,1,1,2,1,1,1,1,4,4,"NE",47,"Lake Minatare",-103.49174,41.933508,"SPL                3"
"NE48",1,1,1,1,1,3,1,1,2,0,2,1,1,3,3,"NE",48,"Box Butte Reservoir",-103.090568,42.45956,"SPL                3"
"NE49",5,4,5,4,3,5,5,3,4,1,4,5,4,5,5,"NE",49,"Bruning Pit",-97.484032,40.345448,"SPL                5"
"NE50",2.498352334,3,4,2.968556756,1.953875834,5,2,1,3,3,2,2,1,4,4,"NE",50,"Johnson Lake",-99.854529,40.694045,"SPL                5"
"NE6",4,5,5,4,5,5,5,4,5,3,5,5,5,4,4,"NE",6,"Bluestem Reservoir",-96.79,40.62833,"TPL                2"
"NE7",3,3.086186209,1,1,3,3.412354361,3.083066531,4,5,4,5,5,5,4,4,"NE",7,"Branched Oak",-96.85333,40.97,"TPL                2"
"NH14",4,0,1,1,0,3,2,3,1,2,1,1,0,1,1,"NH",14,"Baxter Lake",-71.0433,43.3213,"NAP                1"
"NM14",1,5,1,1,2,1,2,0,0,0,4,2,5,2,2,"NM",14,"Conchas Reservoir",-104.19,35.40333,"SPL                3"
"NM15",0,2,0,0,0,4,2,0,1,0,4,1,2,3,5,"NM",15,"Costilla Reservoir",-105.2783,36.875,"WMT                2"
"NM18",1,4,0,0,2,4,3,1,5,0,4,4,3,5,5,"NM",18,"Eagle Nest Lake",-105.2296,36.5318,"WMT                2"
"NM20",2,1,2,2,2,3,2,4,2,2,2,3,2,4,4,"NM",20,"Elephant Butte",-107.1919,33.15409,"XER                3"
"NM29",4,5,3,3,1,5,5,0,4,0,5,4,0,5,5,"NM",29,"Maxwell Lake 13",-104.5862,36.5765,""
"NM4",5,5,1,1,1,5,4,2,3,5,2.816353228,1,2,3,3,"NM",4,"Avalon",-104.2528,32.492,"XER                3"
"NM42",1,3,0,0,0,2,2,1,1,0,1,1,2,1,1,"NM",42,"Santa rosa",-104.6883,35.02833,"SPL                3"
"NM43",5,5,3,3,0,5,5,2,4,0,5,3,1,5,5,"NM",43,"Springer Lake",-104.6482,36.4164,""
"NM44",3,4,1,1,2,4,4,1,3,0,4,3,3,5,5,"NM",44,"Storrie Reservoir",-105.2281,35.6649,"SPL                3"
"NM46",3,3,1,1,2,4,2,1,1,0,4,0,0,2,2,"NM",46,"Sumner",-104.3898,34.60744,"SPL                3"
"NM6",1,2,2,0,3,2,2,3,4,5,4,1,3,1,1,"NM",6,"Brantley",-104.3781,32.54783,"XER                3"
"NM7",3,3,2,2,3,5,4,4,2,1,5,5,5,5,5,"NM",7,"Caballo",-107.293,32.89623,"XER                3"
"NV14",2,3,1,1,1,4,3,2,1,1,2,1,1,1,1,"NV",14,"Harmon",-118.6294,39.4753,"XER                3"
"NV21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NV",21,"Marlette Lake",-119.9064,39.1728,"WMT                1"
"NV22",5,0,0,0,0,0,5,0,2,2,5,0,4,0,0,"NV",22,"Bassett Lake",-114.8197,39.4297,"XER                1"
"NV25",4,4,3,3,2.559118473,2,3,2,2,2,2,1,2,2,1,"NV",25,"Old River",-118.7686,39.5244,"XER                3"
"NV26",2,2,1,1,1,3,2,3,1,2,2,1,2,1,1,"NV",26,"S-line",-118.6964,39.5128,"XER                3"
"NV28",0,0,0,0,0,5,0,0,0,2,1,1,1,0,1,"NV",28,"Rye Patch Reservoir",-118.2997,40.6097,"XER                1"
"NV29",5,5,0,0,0,4,5,0,0,2,2,0,0,0,0,"NV",29,"Pit-Taylor",-118.2697,40.64,"XER                1"
"NV30",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"NV",30,"Ruby Lake National Wildlife Refuge",-115.4617,40.1828,"XER                1"
"NV34",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"NV",34,"South Fork Reservoir",-115.78,40.6797,"XER                1"
"NV39",5,3,0,0,0,0,4,0,0,2,1,0,1,1,1,"NV",39,"Upper Pahranagat Reservoir",-115.15,37.31667,"XER                1"
"NV41",0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,"NV",41,"Wildhorse Reservoir",-115.8418,41.68675,"XER                1"
"NV42",1,0,0,0,0,3,0,0,0,1,2,2,2,1,1,"NV",42,"Willow Creek Reservoir",-116.5361,41.21,"XER                1"
"NV43",0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,"NV",43,"Wilson Reservoir",-116.3497,41.6797,"XER                1"
"NV44",1,3,2,2,1,2,1,1,1,3,2,1,1,1,1,"NV",44,"Lahontan",-119.172535,39.377568,"XER                3"
"NV6",4,4,3,0,0,0,4,0,0,2,3,0,3,0,3,"NV",6,"Boyd Reservoir",-115.5314,40.8347,"XER                1"
"NV9",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"NV",9,"cold springs reservoir",-115.1416,38.3379,"XER                1"
"OH11",1,1,1,1,1,4,1,1,2,1,1,1,1,2,2,"OH",11,"Clendening Reservoir",-81.27667,40.27,"SAP                1"
"OH13",2,2,2,2,2,3,3,1,2,1,3,2,2,2,2,"OH",13,"Deer Creek Reservoir",-83.215,39.62167,"TPL                1"
"OH14",3,3,2,2,2,2,3,5,5,2,5,5,3,4,3,"OH",14,"Delaware Lake",-83.07,40.36,"TPL                2"
"OH17",1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,"OH",17,"Leesville Lake",-81.195,40.46833,"SAP                1"
"OH18",1,1,1,1,1,3,1,2,1,2,1,4,1,2,2,"OH",18,"West Branch Reservoir",-81.08,41.155,"NAP                1"
"OH19",1,1,1,1,1,3,2,1,4,1,1,3,1,3,3,"OH",19,"Mosquito Reservoir",-80.75833,41.3,"NAP                2"
"OH2",0,1,1.878584509,2,0,2,1,2,1,1,3,2,3,1,2,"OH",2,"Alum Creek Lake",-82.95667,40.17667,"TPL                3"
"OH20",2,1,4,4,1,2,2,4,5,3,4,4,3,3,3,"OH",20,"O'Shaughnessy Reservoir",-83.1256,40.1539,"TPL                1"
"OH22",1,1,2,2,2,3,3,1,1,1,3,2,2,3,2,"OH",22,"Piedmont Lake",-81.21333,40.19,"SAP                4"
"OH23",1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,"OH",23,"Pleasant Hill Reservoir",-82.32667,40.60333,"NAP                1"
"OH24",3,2,2.855462548,3,2,4,2,3,2,1,4,3,4,4,3,"OH",24,"Seneca Lake",-81.445,39.92667,"SAP                3"
"OH26",1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,"OH",26,"Tappan Reservoir",-81.22667,40.35833,"SAP                1"
"OH27",1,0,1,2,2,4,3,1,1,2,3,2,3,2,1,"OH",27,"Burr Oak Lake",-82.05833,39.54167,"SAP                4"
"OH29",4,4,4,3,3,5,5,2,3,2.433736142,5,3,4,2,4,"OH",29,"Wills Creek Lake",-81.84667,40.15667,"SAP                3"
"OH3",1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,"OH",3,"Atwood Reservoir",-81.285,40.52667,"SAP                1"
"OH30",5,3,5,4,1,5,5,5,4,3,5,4,2,5,3,"OH",30,"Buckeye Lake",-82.475324,39.926523,"TPL                1"
"OH31",5,1,1,1,3,3,3,3,4,3,4,3,2,4,4,"OH",31,"Indian Lake",-83.893719,40.492654,"TPL                1"
"OH32",4,0,3,3,2,1,2,1,4,3,4,2,4,1,1,"OH",32,"Rush Creek Lake",-82.40721,39.788852,"TPL                1"
"OH33",3,0,2,1,1,1,1,4,3,3,4,3,2,1,2,"OH",33,"Knox Lake",-82.495408,40.513147,"NAP                2"
"OH34",2,1,2,4,1,3,1,5,4,1,2,4,1,3,3,"OH",34,"Griggs Reservoir",-83.106279,40.063096,"TPL                1"
"OH35",1,1,3,3,0,2,1,4,2,2,0,1,0,3,1,"OH",35,"Ferguson Reservoir",-84.040225,40.740462,"TPL                3"
"OH36",0,0,5,5,0,4,0,4,2,2,1,1,0,0,1,"OH",36,"Bresler Reservoir",-84.233,40.736982,"TPL                3"
"OH37",3,3,1,1,2,2,3,1,2,4,3,1,2,1,1,"OH",37,"Wingfoot Lake",-81.36647,41.011155,"NAP                1"
"OH38",1,1,2,2,2,2,1,2,1,1,2,1,2,2,1,"OH",38,"Springfield Lake",-81.439726,41.028413,"NAP                1"
"OH39",0,0,5,5,0,5,0,5,1,1,0,0,0,5,0,"OH",39,"Findlay Reservoir #2",-83.565881,41.012871,"TPL                3"
"OH40",1,1,3,3,1,2,1,2,2,1,2,2,1,2,1,"OH",40,"Guilford Lake",-80.87569,40.799744,"NAP                1"
"OH41",2,2,1,1,1,3,2,1,1,3,1,1,1,2,2,"OH",41,"East Branch Reservoir",-81.095767,41.516932,"NAP                1"
"OH42",1,1,2,1,1,1,1,5,2,1,2,1,1,3,2,"OH",42,"Portage Lakes Chain",-81.545177,41.000047,"NAP                1"
"OH43",1,2,1,1,1,1,1,1,1,1,3,1,2,1,2,"OH",43,"Nimisila Reservoir",-81.52698,40.937507,"NAP                1"
"OH44",2,2,1,1,1,3,2,1,1,1,2,2,1,2,2,"OH",44,"Dale Walborn Reservoir",-81.189916,40.970761,"NAP                1"
"OH45",2,2,1,1,1,1,3,1,1,1,1,1,1,2,2,"OH",45,"Mogadore Reservoir",-81.354547,41.060456,"NAP                1"
"OH46",1,2,1,1,1,1,2,1,1,3,1,1,1,2,1,"OH",46,"LaDue Reservoir",-81.354475,41.059939,"NAP                1"
"OH47",1,2,1,1,1,2,1,3,1,1,1,2,1,1,2,"OH",47,"Lake Milton",-80.987313,41.090446,"NAP                1"
"OH48",1,0,1,1,1,1,1,1,2,1,2,1,1,1,1,"OH",48,"Clear Fork Reservoir",-82.629218,40.705888,"NAP                1"
"OH49",3,3,3,3,4,4,4,4,2,1,3,2,3,2,3,"OH",49,"Lake White",-83.019397,39.103623,"SAP                3"
"OH5",1,1,1,2,1,4,1,3,1,1,1,4,1,2,3,"OH",5,"Berlin Reservoir",-81,41.04667,"NAP                1"
"OH50",2,0,1,1,2,4,3,1,1,1,3,2,3,2,3,"OH",50,"Lake Rupert",-82.52291,39.190622,"SAP                4"
"OH51",0,0,1,1,2,3,1,0,2,1,2,2,2,2,2,"OH",51,"Salt Fork Lake",-81.517038,40.0937,"SAP                4"
"OH52",2,1,1,1,3,3,1,2,1,1,3,2,3,2,3,"OH",52,"Lake Logan",-82.469437,39.53923,"SAP                4"
"OH9",4,1,1,1,2,2,5,1,3,1,5,2,4,1,5,"OH",9,"Charles Mill Reservoir",-82.36,40.74,"NAP                2"
"OK101",2.16171614,2,3,3,3,2,3,1,1,1,2,2,3,2,2,"OK",101,"Pine Creek",-95.07833,34.025,"CPL                3"
"OK102",0.652796645,0,0,0,0,3,1,1,1,1,1,2,2,1,1,"OK",102,"Ponca lake",-97.0267,36.7217,"SPL                1"
"OK103",1.352395103,1,2,2,2,1,1,1,1,1,2,3,2,2,2,"OK",103,"Prague Lake",-96.6217,35.9033,"SPL                1"
"OK106",2.352700367,3,1,1,1,1,2,5,2,0,2,1,1,2,2,"OK",106,"Raymond Gary",-95.2633,33.9817,"CPL                3"
"OK107",0.744097391,1,1,1,1,1,1,4,3,1,2,4,2,3,3,"OK",107,"Lake Hudson",-95.1824,36.2342,"SAP                3"
"OK108",2.507020722,4,1,1,4,3,3,1,2,1,4,5,4,5,5,"OK",108,"Robert S. Kerr",-94.77667,35.34667,"SAP                3"
"OK109",4.131005754,3,2,1,1,3,4,3,3,1,4,2,3,3,2,"OK",109,"Sahoma Lake",-96.1483,36.03,"SPL                3"
"OK112",2.051003353,3,1,1,3,3,2,3,2,0,2,2,2,2,2,"OK",112,"Sardis",-95.0194,34.625,"SAP                4"
"OK117",1.51280729,1,2,2,2,1,1.822611597,1,1,0,3,3,3,3,2,"OK",117,"Bell Cow Lake",-96.9167,35.7333,"SPL                1"
"OK120",2.772929684,3,3,1,1,3,3,1,1,1,1,1,1,2,2,"OK",120,"Hackberry Flat Watershed",-98.95528,34.29361,"SPL                3"
"OK121",2.452349922,2,2,2,2,1,3,1,2,0,2,3,2,2,2,"OK",121,"Wes Watkins Lake",-97.0967,35.4028,"SPL                1"
"OK122",1.120823706,1,2,2,2,1,1,1,1,0,1,1,1,1,1,"OK",122,"Dripping Springs Lake",-96.105,35.57,"SPL                1"
"OK129",3.154324918,3,4,1,2,3,3,4,4,2,4,3,4,3,4,"OK",129,"Elk City Lake",-99.4033,35.36,"SPL                5"
"OK13",0.046713732,0,1,0.627968419,0,2,0,0,2,1,1,1,1,0,1,"OK",13,"Lake Arbuckle",-97.02778,34.43306,"SPL                1"
"OK131",2.018753761,3,3,1,3,3,2,3,1,0,2,2,2,2,2,"OK",131,"Lake Fuqua",-97.6683,34.6028,"SPL                3"
